02:00 - 02:30;33470;34849
02:30 - 03:00;32495;33590
03:00 - 03:30;31649;32463
03:30 - 04:00;31114;31545
04:00 - 04:30;30681;30775
04:30 - 05:00;30194;30112
05:00 - 05:30;29741;29707
05:30 - 06:00;29763;29435
06:00 - 06:30;29911;29515
06:30 - 07:00;30285;29881
07:00 - 07:30;31584;31376
07:30 - 08:00;33082;33785
08:00 - 08:30;34763;36014
08:30 - 09:00;36496;37318
09:00 - 09:30;38265;39419
09:30 - 10:00;40042;41204
10:00 - 10:30;41753;42885
10:30 - 11:00;42704;44077
11:00 - 11:30;43505;44740
11:30 - 12:00;43866;45171
12:00 - 12:30;44353;45366
12:30 - 13:00;44391;45515
13:00 - 13:30;44344;45590
13:30 - 14:00;44117;45578
14:00 - 14:30;43788;45251
14:30 - 15:00;43386;45155
15:00 - 15:30;43287;45065
15:30 - 16:00;42951;44791
16:00 - 16:30;43062;44859
16:30 - 17:00;43330;45409
17:00 - 17:30;45265;47328
17:30 - 18:00;47871;49349
18:00 - 18:30;49654;50344
18:30 - 19:00;49778;50272
19:00 - 19:30;49375;49656
19:30 - 20:00;48363;48523
20:00 - 20:30;46738;47040
20:30 - 21:00;44873;45601
21:00 - 21:30;43546;44302
21:30 - 22:00;42300;42769
22:00 - 22:30;40928;41528
22:30 - 23:00;39358;39744
23:00 - 23:30;37951;38108
23:30 - 00:00;36883;36827
00:00 - 00:30;35105;35116
00:30 - 01:00;33844;33777
01:00 - 01:30;32947;34155
01:30 - 02:00;32586;33570
02:00 - 02:30;31728;33097
02:30 - 03:00;30717;31673
03:00 - 03:30;30227;30395
03:30 - 04:00;29844;29861
04:00 - 04:30;29032;28882
04:30 - 05:00;28294;27801
05:00 - 05:30;27856;27360
05:30 - 06:00;27607;27097
06:00 - 06:30;27687;27151
06:30 - 07:00;28280;27453
07:00 - 07:30;29109;28485
07:30 - 08:00;30030;29589
08:00 - 08:30;31014;31630
08:30 - 09:00;32099;32890
09:00 - 09:30;33946;34665
09:30 - 10:00;36050;36716
10:00 - 10:30;37973;38894
10:30 - 11:00;39636;40369
11:00 - 11:30;40896;41873
11:30 - 12:00;41509;42703
12:00 - 12:30;41933;43353
12:30 - 13:00;42555;43972
13:00 - 13:30;43086;44403
13:30 - 14:00;42953;44537
14:00 - 14:30;42624;44551
14:30 - 15:00;42820;44621
15:00 - 15:30;42805;44634
15:30 - 16:00;43029;44887
16:00 - 16:30;43690;45373
16:30 - 17:00;45177;46463
17:00 - 17:30;47446;48098
17:30 - 18:00;49313;50821
18:00 - 18:30;49955;51810
18:30 - 19:00;49576;51518
19:00 - 19:30;48711;50989
19:30 - 20:00;47518;49876
20:00 - 20:30;46306;48470
20:30 - 21:00;45255;47184
21:00 - 21:30;43894;46140
21:30 - 22:00;42324;44373
22:00 - 22:30;40613;43766
22:30 - 23:00;38797;41954
23:00 - 23:30;37012;40308
23:30 - 00:00;34777;38563
00:00 - 00:30;32723;36656
00:30 - 01:00;32122;35181
01:00 - 01:30;32261;34864
01:30 - 02:00;32183;34905
02:00 - 02:30;31802;34160
02:30 - 03:00;31232;33229
03:00 - 03:30;30905;32676
03:30 - 04:00;30443;32355
04:00 - 04:30;29672;31786
04:30 - 05:00;28946;31244
05:00 - 05:30;28730;30492
05:30 - 06:00;29355;29933
06:00 - 06:30;30331;31403
06:30 - 07:00;32661;33242
07:00 - 07:30;36157;37392
07:30 - 08:00;40319;40985
08:00 - 08:30;44049;45159
08:30 - 09:00;45865;47569
09:00 - 09:30;46228;49666
09:30 - 10:00;46437;49832
10:00 - 10:30;47199;50287
10:30 - 11:00;47576;50742
11:00 - 11:30;47739;51335
11:30 - 12:00;47978;51389
12:00 - 12:30;48111;51522
12:30 - 13:00;48291;51681
13:00 - 13:30;48385;52047
13:30 - 14:00;48453;51862
14:00 - 14:30;48343;51317
14:30 - 15:00;48335;50940
15:00 - 15:30;48211;51217
15:30 - 16:00;48148;51300
16:00 - 16:30;48742;51210
16:30 - 17:00;50445;52339
17:00 - 17:30;53134;54035
17:30 - 18:00;55048;55578
18:00 - 18:30;55391;56390
18:30 - 19:00;54877;56113
19:00 - 19:30;54113;55562
19:30 - 20:00;52910;55458
20:00 - 20:30;51329;54647
20:30 - 21:00;49721;53103
21:00 - 21:30;47987;51341
21:30 - 22:00;45996;49603
22:00 - 22:30;43585;47741
22:30 - 23:00;41212;45318
23:00 - 23:30;39068;43105
23:30 - 00:00;36680;41146
00:00 - 00:30;34442;38724
00:30 - 01:00;33661;37050
01:00 - 01:30;33638;35648
01:30 - 02:00;33791;35499
02:00 - 02:30;33086;34856
02:30 - 03:00;32300;33811
03:00 - 03:30;31865;33321
03:30 - 04:00;31710;33390
04:00 - 04:30;31308;32759
04:30 - 05:00;30815;32119
05:00 - 05:30;30646;31857
05:30 - 06:00;30951;31822
06:00 - 06:30;31720;32540
06:30 - 07:00;34001;34154
07:00 - 07:30;37395;38639
07:30 - 08:00;41449;42486
08:00 - 08:30;45239;47024
08:30 - 09:00;46921;49254
09:00 - 09:30;47232;50354
09:30 - 10:00;47678;50498
10:00 - 10:30;48201;51120
10:30 - 11:00;48432;51200
11:00 - 11:30;48668;51155
11:30 - 12:00;48851;51107
12:00 - 12:30;49030;51471
12:30 - 13:00;49225;51747
13:00 - 13:30;49526;52252
13:30 - 14:00;49651;52097
14:00 - 14:30;49543;52123
14:30 - 15:00;49337;52018
15:00 - 15:30;49289;51995
15:30 - 16:00;49195;51561
16:00 - 16:30;49563;51305
16:30 - 17:00;50819;52201
17:00 - 17:30;53044;53651
17:30 - 18:00;55216;55795
18:00 - 18:30;55866;56508
18:30 - 19:00;55503;56119
19:00 - 19:30;54745;56223
19:30 - 20:00;53639;55900
20:00 - 20:30;52132;54749
20:30 - 21:00;50678;53343
21:00 - 21:30;48930;51893
21:30 - 22:00;46904;49966
22:00 - 22:30;44449;47910
22:30 - 23:00;41862;45718
23:00 - 23:30;39541;43367
23:30 - 00:00;37248;41206
00:00 - 00:30;35044;38811
00:30 - 01:00;34250;37451
01:00 - 01:30;34411;36404
01:30 - 02:00;34306;35983
02:00 - 02:30;33643;35504
02:30 - 03:00;32887;34591
03:00 - 03:30;32534;33930
03:30 - 04:00;32376;34026
04:00 - 04:30;31921;33656
04:30 - 05:00;31501;33109
05:00 - 05:30;31393;32770
05:30 - 06:00;31595;32822
06:00 - 06:30;32353;33666
06:30 - 07:00;34561;35037
07:00 - 07:30;37987;39422
07:30 - 08:00;42474;43843
08:00 - 08:30;46463;46966
08:30 - 09:00;48166;49215
09:00 - 09:30;48423;50751
09:30 - 10:00;48655;50785
10:00 - 10:30;49303;51654
10:30 - 11:00;49429;51793
11:00 - 11:30;49369;51876
11:30 - 12:00;49352;51943
12:00 - 12:30;49395;50586
12:30 - 13:00;49650;50555
13:00 - 13:30;49802;55327
13:30 - 14:00;49859;52004
14:00 - 14:30;49872;51855
14:30 - 15:00;50018;51715
15:00 - 15:30;50051;N/A
15:30 - 16:00;49980;N/A
16:00 - 16:30;50499;51488
16:30 - 17:00;52208;52295
17:00 - 17:30;54490;53926
17:30 - 18:00;55992;55804
18:00 - 18:30;56157;56355
18:30 - 19:00;55712;55920
19:00 - 19:30;55240;55593
19:30 - 20:00;54395;55768
20:00 - 20:30;52986;54951
20:30 - 21:00;51515;53602
21:00 - 21:30;49757;52289
21:30 - 22:00;47872;52252
22:00 - 22:30;45702;48301
22:30 - 23:00;43154;45952
23:00 - 23:30;40832;43901
23:30 - 00:00;38586;41577
00:00 - 00:30;36323;39226
00:30 - 01:00;35265;37364
01:00 - 01:30;34998;37785
01:30 - 02:00;34911;36817
02:00 - 02:30;34098;36330
02:30 - 03:00;33163;35111
03:00 - 03:30;32662;34172
03:30 - 04:00;32586;33930
04:00 - 04:30;32194;33937
04:30 - 05:00;31688;33465
05:00 - 05:30;31613;33010
05:30 - 06:00;31908;32970
06:00 - 06:30;32661;33627
06:30 - 07:00;35039;33673
07:00 - 07:30;38614;40064
07:30 - 08:00;42864;43619
08:00 - 08:30;46713;47980
08:30 - 09:00;48307;50425
09:00 - 09:30;48458;51492
09:30 - 10:00;48684;51428
10:00 - 10:30;49145;52200
10:30 - 11:00;49389;52488
11:00 - 11:30;49569;52323
11:30 - 12:00;49659;52341
12:00 - 12:30;49759;52303
12:30 - 13:00;49926;52271
13:00 - 13:30;49962;52265
13:30 - 14:00;49932;52086
14:00 - 14:30;49783;51883
14:30 - 15:00;49601;51763
15:00 - 15:30;49464;51571
15:30 - 16:00;49359;51495
16:00 - 16:30;49665;51315
16:30 - 17:00;50886;52247
17:00 - 17:30;53144;53693
17:30 - 18:00;55291;55491
18:00 - 18:30;56017;56721
18:30 - 19:00;55699;56561
19:00 - 19:30;55059;56655
19:30 - 20:00;54039;56360
20:00 - 20:30;52612;55886
20:30 - 21:00;51212;54426
21:00 - 21:30;49513;52964
21:30 - 22:00;47542;51346
22:00 - 22:30;45198;49319
22:30 - 23:00;42665;46887
23:00 - 23:30;40425;44782
23:30 - 00:00;38165;42821
00:00 - 00:30;36068;40446
00:30 - 01:00;35197;38733
01:00 - 01:30;34417;38658
01:30 - 02:00;34699;37245
02:00 - 02:30;34685;36536
02:30 - 03:00;34071;35769
03:00 - 03:30;33861;35234
03:30 - 04:00;33947;35093
04:00 - 04:30;33724;34648
04:30 - 05:00;32965;34197
05:00 - 05:30;32720;33675
05:30 - 06:00;32557;33671
06:00 - 06:30;33125;34420
06:30 - 07:00;34406;36158
07:00 - 07:30;37555;40742
07:30 - 08:00;40975;44608
08:00 - 08:30;45589;48376
08:30 - 09:00;48185;50790
09:00 - 09:30;49083;51929
09:30 - 10:00;48953;51941
10:00 - 10:30;49582;52903
10:30 - 11:00;49604;52855
11:00 - 11:30;49495;52688
11:30 - 12:00;49760;52618
12:00 - 12:30;49902;52291
12:30 - 13:00;49655;52181
13:00 - 13:30;49598;52023
13:30 - 14:00;49260;51629
14:00 - 14:30;48921;49824
14:30 - 15:00;48463;52600
15:00 - 15:30;48384;51086
15:30 - 16:00;47939;51095
16:00 - 16:30;47934;50723
16:30 - 17:00;48699;51520
17:00 - 17:30;50456;53005
17:30 - 18:00;53105;53039
18:00 - 18:30;54477;55230
18:30 - 19:00;54685;56594
19:00 - 19:30;54337;56641
19:30 - 20:00;53348;55556
20:00 - 20:30;51806;54606
20:30 - 21:00;50242;53079
21:00 - 21:30;48507;53038
21:30 - 22:00;46472;51535
22:00 - 22:30;44769;49874
22:30 - 23:00;42545;47923
23:00 - 23:30;40704;46010
23:30 - 00:00;39027;43847
00:00 - 00:30;36970;42227
00:30 - 01:00;35552;40309
01:00 - 01:30;34412;38742
01:30 - 02:00;34402;38634
02:00 - 02:30;33907;37463
02:30 - 03:00;33330;36160
03:00 - 03:30;33215;34937
03:30 - 04:00;32961;34786
04:00 - 04:30;32224;34123
04:30 - 05:00;31689;33206
05:00 - 05:30;31443;32601
05:30 - 06:00;31412;32426
06:00 - 06:30;31545;32928
06:30 - 07:00;32329;33375
07:00 - 07:30;33729;35637
07:30 - 08:00;35378;37782
08:00 - 08:30;37150;39771
08:30 - 09:00;38848;41028
09:00 - 09:30;41042;43317
09:30 - 10:00;42994;45529
10:00 - 10:30;44233;45954
10:30 - 11:00;44734;48233
11:00 - 11:30;45118;48911
11:30 - 12:00;45465;49194
12:00 - 12:30;45426;49307
12:30 - 13:00;45314;48956
13:00 - 13:30;45072;49465
13:30 - 14:00;44720;49183
14:00 - 14:30;44213;48557
14:30 - 15:00;44004;48343
15:00 - 15:30;43655;48072
15:30 - 16:00;43647;47851
16:00 - 16:30;44051;47926
16:30 - 17:00;44727;48517
17:00 - 17:30;46788;50091
17:30 - 18:00;49775;52682
18:00 - 18:30;51307;54555
18:30 - 19:00;51066;54752
19:00 - 19:30;50419;54169
19:30 - 20:00;49233;53159
20:00 - 20:30;47450;51755
20:30 - 21:00;45961;49983
21:00 - 21:30;44714;48702
21:30 - 22:00;43276;47241
22:00 - 22:30;41655;45820
22:30 - 23:00;40206;44265
23:00 - 23:30;38945;42537
23:30 - 00:00;37369;41333
00:00 - 00:30;35692;39794
00:30 - 01:00;35239;38716
01:00 - 01:30;34854;38749
01:30 - 02:00;34794;38133
02:00 - 02:30;34330;37050
02:30 - 03:00;33721;35834
03:00 - 03:30;33590;34700
03:30 - 04:00;33374;34240
04:00 - 04:30;32525;33680
04:30 - 05:00;31707;32885
05:00 - 05:30;31140;32342
05:30 - 06:00;30759;32049
06:00 - 06:30;30722;31874
06:30 - 07:00;31317;31982
07:00 - 07:30;32169;33069
07:30 - 08:00;33136;33085
08:00 - 08:30;34157;35457
08:30 - 09:00;35486;37181
09:00 - 09:30;37863;38884
09:30 - 10:00;40208;40953
10:00 - 10:30;42007;43351
10:30 - 11:00;43353;45154
11:00 - 11:30;44371;46814
11:30 - 12:00;45055;47685
12:00 - 12:30;45605;48462
12:30 - 13:00;46084;49111
13:00 - 13:30;46391;49703
13:30 - 14:00;46207;49764
14:00 - 14:30;45409;49587
14:30 - 15:00;45008;49424
15:00 - 15:30;44921;49624
15:30 - 16:00;44983;49614
16:00 - 16:30;45289;50004
16:30 - 17:00;46196;50502
17:00 - 17:30;48392;51967
17:30 - 18:00;51171;54328
18:00 - 18:30;52503;55550
18:30 - 19:00;52170;55176
19:00 - 19:30;51340;54335
19:30 - 20:00;50212;53395
20:00 - 20:30;48957;51640
20:30 - 21:00;47868;50399
21:00 - 21:30;46539;49457
21:30 - 22:00;45064;47804
22:00 - 22:30;43331;44632
22:30 - 23:00;41350;42761
23:00 - 23:30;39393;40906
23:30 - 00:00;37035;38848
00:00 - 00:30;35021;37228
00:30 - 01:00;34062;35340
01:00 - 01:30;33368;35218
01:30 - 02:00;33572;35812
02:00 - 02:30;33287;35372
02:30 - 03:00;32677;34535
03:00 - 03:30;32487;33876
03:30 - 04:00;32571;33898
04:00 - 04:30;32211;33548
04:30 - 05:00;31922;32911
05:00 - 05:30;31815;32485
05:30 - 06:00;32131;32610
06:00 - 06:30;33079;33350
06:30 - 07:00;35644;35090
07:00 - 07:30;39434;39476
07:30 - 08:00;43784;43417
08:00 - 08:30;47595;46467
08:30 - 09:00;49271;48837
09:00 - 09:30;49610;50828
09:30 - 10:00;50106;51044
10:00 - 10:30;50956;51979
10:30 - 11:00;51201;52328
11:00 - 11:30;51361;53018
11:30 - 12:00;51639;53186
12:00 - 12:30;51820;53470
12:30 - 13:00;52147;53611
13:00 - 13:30;52266;53880
13:30 - 14:00;52128;53773
14:00 - 14:30;51876;53619
14:30 - 15:00;51820;53376
15:00 - 15:30;51680;53148
15:30 - 16:00;51496;52753
16:00 - 16:30;51909;52473
16:30 - 17:00;53133;53197
17:00 - 17:30;54749;55538
17:30 - 18:00;56448;57143
18:00 - 18:30;57104;58055
18:30 - 19:00;56571;57747
19:00 - 19:30;55728;57357
19:30 - 20:00;54859;57233
20:00 - 20:30;53947;N/A
20:30 - 21:00;52652;N/A
21:00 - 21:30;50845;53548
21:30 - 22:00;48811;51593
22:00 - 22:30;46337;49169
22:30 - 23:00;43937;46684
23:00 - 23:30;41602;43935
23:30 - 00:00;38986;41613
00:00 - 00:30;36739;39439
00:30 - 01:00;35625;37173
01:00 - 01:30;36174;37084
01:30 - 02:00;36144;37166
02:00 - 02:30;35692;36914
02:30 - 03:00;35102;36254
03:00 - 03:30;34845;36226
03:30 - 04:00;34780;35892
04:00 - 04:30;34225;35391
04:30 - 05:00;33659;34851
